Intro to Statistic Modeling,Great Ideas in Computer Science,Classical Mythology,The History of Modern Political Philosophy,Psychological Science,Why You Hear What You Hear: The Science of Music and Sound,"Human Trafficking, Slavery and Abolition in the Modern World",Ethics of a Human Life,Human Evolution & Human Health,Introduction to the Hebrew Bible/Old Testament 1: Pentateuch and Former Prophets,,Introduction to the Arts of Pre-Columbian America,International Conflict and Cooperation,"Coffee and Nighttime: History and Politics, 1400-2020",,,
Understanding Islam and Contemporary Muslim Societies,Using Big Data to Solve Economic and Social Problems,Engineering Quantum Mechanics,Landmarks of World Architecture,Frontiers,Designing the American City: Civic Aspirations and Urban Form,Chaucer: The Canterbury Tales,Introduction to Statistics for Behavioral Sciences,Happiness,The Politics of Economic Inequality,,,,,,,
Foundations of Tonal Music I,Introduction to Statistics for Life Sciences,Introduction to Quantitative Methods for Economics,Foundations and Frontiers of Modern Chemistry: A Molecular and Global Perspective,"Chemical Bonding, Energy, and Reactivity: An Introduction to the Physical Sciences",Computer-Aided Machine Design,Forbidden Romance in Modern China,Introduction to African American Studies,Mathematical Methods in the Sciences,Economic Justice,Sex and Ethical Reasoning,Foundations of Political Theory,Human Physiology: From Personal To Public Health,Energy Resources and the Environment,Native American and Indigenous Studies: An Introduction,Modern China,Introduction to Fluid Mechanics and Transport Processes
